"Designator","Device","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Pins","Layer","Rotation","SMD","Comment","Name"
"C1","CL10A105KB8NNNC","C0603","131.445mm","30.734mm","131.445mm","30.734mm","131.445mm","31.434mm","2","T","270","Yes","1uF","1uF"
"C2","CL10A105KB8NNNC","C0603","158.118mm","20.32mm","158.118mm","20.32mm","158.818mm","20.32mm","2","T","180","Yes","1uF","1uF"
"C3","CL10A105KB8NNNC","C0603","124.522mm","26.735mm","124.522mm","26.735mm","124.522mm","26.035mm","2","T","90","Yes","1uF","1uF"
"C4","CL10A105KB8NNNC","C0603","98.806mm","26.289mm","98.806mm","26.289mm","98.106mm","26.289mm","2","T","0","Yes","1uF","1uF"
"C5","CL10A105KB8NNNC","C0603","160.655mm","39.497mm","160.655mm","39.497mm","161.355mm","39.497mm","2","T","180","Yes","1uF","1uF"
"C6","CAPR500-350X720X850100nF100V","C0603","109.747mm","34.234mm","109.747mm","34.234mm","109.747mm","33.534mm","2","T","90","Yes","CAPR500-350X720X850100nF100V","CAPR500-350X720X850100nF100V"
"C7","CL10A105KB8NNNC","C0603","107.894mm","34.271mm","107.894mm","34.271mm","107.894mm","33.571mm","2","T","90","Yes","1uF","1uF"
"C9","CAPR500-350X720X850100nF100V","C0603","108.712mm","23.622mm","108.712mm","23.622mm","108.712mm","24.322mm","2","T","270","Yes","CAPR500-350X720X850100nF100V","CAPR500-350X720X850100nF100V"
"C10","CL10A105KB8NNNC","C0603","106.899mm","23.587mm","106.899mm","23.587mm","106.899mm","24.287mm","2","T","270","Yes","1uF","1uF"
"C12","CAPR500-350X720X850100nF100V","C0603","110.574mm","23.608mm","110.574mm","23.608mm","110.574mm","24.308mm","2","T","270","Yes","CAPR500-350X720X850100nF100V","CAPR500-350X720X850100nF100V"
"C13","CL10A105KB8NNNC","C0603","112.528mm","23.623mm","112.528mm","23.623mm","112.528mm","24.323mm","2","T","270","Yes","1uF","1uF"
"R1","0603WAF5101T5E","R0603","98.806mm","28.067mm","98.806mm","28.067mm","99.559mm","28.067mm","2","T","180","Yes","5.1kΩ","5.1kΩ"
"R2","0603WAF5101T5E","R0603","98.806mm","30.48mm","98.806mm","30.48mm","99.559mm","30.48mm","2","T","180","Yes","5.1kΩ","5.1kΩ"
"R3","0603WAF5602T5E","R0603","160.782mm","37.719mm","160.782mm","37.719mm","161.535mm","37.719mm","2","T","180","Yes","56kΩ","56kΩ"
"R4","0603WAF5602T5E","R0603","160.782mm","35.306mm","160.782mm","35.306mm","161.535mm","35.306mm","2","T","180","Yes","56kΩ","56kΩ"
"U1","SL2.1s","SSOP-16_L4.6-W2.6-P0.53-LS4.0-BL","111.506mm","29.591mm","111.506mm","29.591mm","113.361mm","31.391mm","16","T","180","Yes","SL2.1s","SL2.1s"
"USB1","10.0 QHHTZB6.3","USB-A-TH_10.0QHHTZB6.3","166.243mm","23.876mm","166.243mm","23.876mm","161.848mm","20.376mm","6","T","90","No","10.0 QHHTZB6.3","10.0 QHHTZB6.3"
"USB2","10.0 QHHTZB6.3","USB-A-TH_10.0QHHTZB6.3","128.016mm","19.177mm","128.016mm","19.177mm","124.516mm","23.572mm","6","T","0","No","10.0 QHHTZB6.3","10.0 QHHTZB6.3"
"USB3","10.0 QHHTZB6.3","USB-A-TH_10.0QHHTZB6.3","128.016mm","39.497mm","128.016mm","39.497mm","131.516mm","35.102mm","6","T","180","No","10.0 QHHTZB6.3","10.0 QHHTZB6.3"
"USB4","TYPE-C 16PIN 2MD(073)","USB-C-SMD_TYPE-C-16PIN-2MD-073","168.148mm","36.576mm","168.148mm","36.576mm","170.523mm","32.251mm","16","T","90","No","TYPE-C 16PIN 2MD(073)","TYPE-C 16PIN 2MD(073)"
"USB5","TYPE-C 16PIN 2MD(073)","USB-C-SMD_TYPE-C-16PIN-2MD-073","92.95mm","29.251mm","92.95mm","29.251mm","90.575mm","33.576mm","16","T","270","No","TYPE-C 16PIN 2MD(073)","TYPE-C 16PIN 2MD(073)"
